City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
193,Nova Olimpia,BR,76.17,clear sky,-14.8,-57.29,Motel glamour
194,Mitsamiouli,KM,75.69,few clouds,-11.38,43.28,Foyer ADM
196,Arlit,NE,82.13,overcast clouds,18.74,7.39,Hôtel Telwa Bungalow
199,Pemangkat,ID,83.19,overcast clouds,1.17,108.97,Kost H.Syamsuddin
202,Harper,LR,75.99,light rain,4.38,-7.72,Screensaver
204,Cayenne,GF,75.2,light rain,4.93,-52.33,Hôtel Le Dronmi
206,Dinajpur,BD,88.5,scattered clouds,25.63,88.64,Hotel Sahara
217,Elizabeth City,US,84.2,clear sky,36.29,-76.25,Hampton Inn Elizabeth City
219,Lorengau,PG,85.69,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
221,Olinda,BR,77.0,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
224,Nicolas Bravo,MX,75.92,clear sky,18.45,-88.92,
226,Neftcala,AZ,76.39,clear sky,39.37,49.25,Göl hotel
228,Sur,OM,88.97,overcast clouds,22.57,59.53,Sur Plaza Hotel
233,Ixtapa,MX,82.4,overcast clouds,20.7,-105.2,Container Inn Puerto Vallarta
235,Soe,ID,80.11,scattered clouds,-9.86,124.28,Dena Hotel
240,Jensen Beach,US,84.2,clear sky,27.25,-80.23,Courtyard by Marriott Hutchinson Island Oceanside/Jensen Beach
245,Guerrero Negro,MX,76.5,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
247,San Patricio,MX,78.76,light rain,19.22,-104.7,Hotel Cabo Blanco
248,Kahului,US,87.8,clear sky,20.89,-156.47,Maui Seaside Hotel
252,Tripoli,LY,78.3,clear sky,32.88,13.19,Al Waddan Hotel
253,Oistins,BB,82.4,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
254,Wattegama,LK,86.0,broken clouds,6.8,81.48,
255,Santa Rosa,PH,90.0,overcast clouds,14.31,121.11,Amethyst Econotel
256,Tual,ID,79.77,light rain,-5.67,132.75,Grand Vilia Hotel
259,Weston,US,84.99,clear sky,26.1,-80.4,Courtyard by Marriott Fort Lauderdale Weston
261,Amahai,ID,80.65,broken clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
263,Padang,ID,84.79,broken clouds,-0.95,100.35,Mercure Padang
265,Les Cayes,HT,79.29,clear sky,18.2,-73.75,Villa Orphee
266,Jeremie,HT,81.61,clear sky,18.65,-74.12,Auberge Inn
271,Maningrida,AU,86.58,scattered clouds,-12.07,134.27,Dhukurrdji Lodge
272,Denpasar,ID,84.2,few clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
274,Alofi,NU,78.8,scattered clouds,-19.06,-169.92,Taloa Heights
275,Bonthe,SL,75.61,moderate rain,7.53,-12.51,Bonthe Holiday Village
278,Kaseda,JP,87.8,scattered clouds,31.42,130.32,Sun Stay Kaseda
279,Nishihara,JP,89.6,broken clouds,26.18,127.76,Minshuku Agaihama
281,Lingao,CN,87.89,broken clouds,19.91,109.69,Lingao Ditai Inn
288,Marzuq,YE,81.54,broken clouds,14.4,46.47,
289,Kanigoro,ID,88.11,clear sky,-8.13,112.22,Kampoeng Soekarelawan Pmi Jatim 2017
292,Sorong,ID,82.06,moderate rain,-0.88,131.25,The Waigo Hotel
301,Marawi,PH,84.99,overcast clouds,8.0,124.29,Salihmaruhom
305,Natal,BR,75.2,few clouds,-5.79,-35.21,Villa Park Hotel | Natal
306,Honiara,SB,87.8,shower rain,-9.43,159.95,Heritage Park Hotel
307,Tessalit,ML,85.14,broken clouds,20.2,1.01,
309,Dhali,IN,78.8,haze,10.5,77.17,Karthik Tiffin Center
311,Naze,JP,89.6,few clouds,28.37,129.48,奄美ポートタワーホテル
312,Rantepao,ID,81.27,broken clouds,-2.97,119.9,Hotel Luta Resort
314,Corpus Christi,US,87.01,clear sky,27.8,-97.4,Holiday Inn Corpus Christi Downtown Marina
315,Mount Isa,AU,80.6,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
319,Portland,US,77.0,clear sky,45.52,-122.68,Portland Marriott City Center
321,Acarau,BR,77.2,clear sky,-2.89,-40.12,castelo pizzaria
324,Port-Gentil,GA,75.02,overcast clouds,-0.72,8.78,Fengshui Residence
325,Kefamenanu,ID,84.51,scattered clouds,-9.45,124.48,PAULUS TAITOH
